SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
126192	6309600	0.014	-0.015	0.0294	-0.0315
126193	6309650	0.013	-0.014	0.0273	-0.0294
126194	6309700	0.012	-0.013	0.0252	-0.0273
126195	6309750	0.012	-0.013	0.0252	-0.0273
126196	6309800	0.014	-0.013	0.0294	-0.0273
126197	6309850	0.015	-0.012	0.0315	-0.0252
126198	6309900	0.015	-0.011	0.0315	-0.0231
126199	6309950	0.015	-0.012	0.0315	-0.0252
126200	6310000	0.015	-0.012	0.0315	-0.0252
126201	6310050	0.013	-0.013	0.0273	-0.0273
126202	6310100	0.012	-0.013	0.0252	-0.0273
126203	6310150	0.011	-0.013	0.0231	-0.0273
126204	6310200	0.013	-0.014	0.0273	-0.0294
126205	6310250	0.015	-0.013	0.0315	-0.0273
126206	6310300	0.015	-0.013	0.0315	-0.0273
126207	6310350	0.014	-0.014	0.0294	-0.0294
126208	6310400	0.013	-0.014	0.0273	-0.0294
126209	6310450	0.014	-0.012	0.0294	-0.0252
126210	6310500	0.015	-0.013	0.0315	-0.0273
126211	6310550	0.014	-0.014	0.0294	-0.0294
126212	6310600	0.015	-0.014	0.0315	-0.0294
126213	6310650	0.014	-0.013	0.0294	-0.0273
126214	6310700	0.014	-0.013	0.0294	-0.0273
126215	6310750	0.014	-0.013	0.0294	-0.0273
126216	6310800	0.016	-0.011	0.0336	-0.0231
126217	6310850	0.016	-0.011	0.0336	-0.0231
126218	6310900	0.016	-0.012	0.0336	-0.0252
126219	6310950	0.014	-0.012	0.0294	-0.0252
126220	6311000	0.015	-0.012	0.0315	-0.0252
126221	6311050	0.014	-0.013	0.0294	-0.0273
126222	6311100	0.015	-0.013	0.0315	-0.0273
126223	6311150	0.015	-0.013	0.0315	-0.0273
126224	6311200	0.015	-0.012	0.0315	-0.0252
126225	6311250	0.015	-0.013	0.0315	-0.0273
126226	6311300	0.015	-0.012	0.0315	-0.0252
126227	6311350	0.015	-0.013	0.0315	-0.0273
126228	6311400	0.015	-0.012	0.0315	-0.0252
126229	6311450	0.015	-0.012	0.0315	-0.0252
126230	6311500	0.014	-0.013	0.0294	-0.0273
126231	6311550	0.014	-0.014	0.0294	-0.0294
126232	6311600	0.015	-0.012	0.0315	-0.0252
126233	6311650	0.014	-0.012	0.0294	-0.0252
126234	6311700	0.014	-0.012	0.0294	-0.0252
126235	6311750	0.014	-0.014	0.0294	-0.0294
126236	6311800	0.016	-0.014	0.0336	-0.0294
126237	6311850	0.017	-0.012	0.0357	-0.0252
126238	6311900	0.014	-0.012	0.0294	-0.0252
126239	6311950	0.015	-0.013	0.0315	-0.0273
126240	6312000	0.015	-0.014	0.0315	-0.0294
126241	6312050	0.016	-0.013	0.0336	-0.0273
126242	6312100	0.016	-0.012	0.0336	-0.0252
126243	6312150	0.015	-0.013	0.0315	-0.0273
126244	6312200	0.015	-0.012	0.0315	-0.0252
126245	6312250	0.015	-0.012	0.0315	-0.0252
126246	6312300	0.014	-0.013	0.0294	-0.0273
126247	6312350	0.014	-0.012	0.0294	-0.0252
126248	6312400	0.013	-0.013	0.0273	-0.0273
126249	6312450	0.014	-0.013	0.0294	-0.0273
126250	6312500	0.013	-0.013	0.0273	-0.0273
126251	6312550	0.013	-0.013	0.0273	-0.0273
126252	6312600	0.015	-0.011	0.0315	-0.0231
126253	6312650	0.015	-0.011	0.0315	-0.0231
126254	6312700	0.016	-0.01	0.0336	-0.021
126255	6312750	0.015	-0.01	0.0315	-0.021
126256	6312800	0.014	-0.011	0.0294	-0.0231
126257	6312850	0.013	-0.013	0.0273	-0.0273
126258	6312900	0.014	-0.014	0.0294	-0.0294
126259	6312950	0.014	-0.014	0.0294	-0.0294
126260	6313000	0.015	-0.013	0.0315	-0.0273
126261	6313050	0.015	-0.012	0.0315	-0.0252
126262	6313100	0.015	-0.013	0.0315	-0.0273
126263	6313150	0.014	-0.013	0.0294	-0.0273
126264	6313200	0.014	-0.012	0.0294	-0.0252
126265	6313250	0.013	-0.012	0.0273	-0.0252
126266	6313300	0.014	-0.011	0.0294	-0.0231
126267	6313350	0.014	-0.012	0.0294	-0.0252
126268	6313400	0.015	-0.012	0.0315	-0.0252
126269	6313450	0.014	-0.011	0.0294	-0.0231
126270	6313500	0.013	-0.011	0.0273	-0.0231
126271	6313550	0.014	-0.011	0.0294	-0.0231
126272	6313600	0.014	-0.011	0.0294	-0.0231
126273	6313650	0.014	-0.011	0.0294	-0.0231
126274	6313700	0.015	-0.013	0.0315	-0.0273
126275	6313750	0.015	-0.012	0.0315	-0.0252
126276	6313800	0.015	-0.013	0.0315	-0.0273
126277	6313850	0.014	-0.014	0.0294	-0.0294
126278	6313900	0.014	-0.012	0.0294	-0.0252
126279	6313950	0.013	-0.012	0.0273	-0.0252
126280	6314000	0.013	-0.013	0.0273	-0.0273
126281	6314050	0.014	-0.013	0.0294	-0.0273
126282	6314100	0.016	-0.013	0.0336	-0.0273
126283	6314150	0.015	-0.012	0.0315	-0.0252
126284	6314200	0.014	-0.013	0.0294	-0.0273
126285	6314250	0.014	-0.014	0.0294	-0.0294
126286	6314300	0.014	-0.013	0.0294	-0.0273
126287	6314350	0.016	-0.012	0.0336	-0.0252
126288	6314400	0.015	-0.011	0.0315	-0.0231
126289	6314450	0.016	-0.012	0.0336	-0.0252
126290	6314500	0.015	-0.012	0.0315	-0.0252
126291	6314550	0.015	-0.012	0.0315	-0.0252
126292	6314600	0.015	-0.012	0.0315	-0.0252
126293	6314650	0.015	-0.01	0.0315	-0.021
126294	6314700	0.015	-0.01	0.0315	-0.021
126295	6314750	0.015	-0.013	0.0315	-0.0273
126296	6314800	0.014	-0.016	0.0294	-0.0336
126297	6314850	0.014	-0.014	0.0294	-0.0294
126298	6314900	0.014	-0.012	0.0294	-0.0252
126299	6314950	0.015	-0.013	0.0315	-0.0273
126300	6315000	0.015	-0.013	0.0315	-0.0273
126301	6315050	0.016	-0.013	0.0336	-0.0273
126302	6315100	0.015	-0.011	0.0315	-0.0231
126303	6315150	0.015	-0.012	0.0315	-0.0252
126304	6315200	0.015	-0.013	0.0315	-0.0273
126305	6315250	0.016	-0.013	0.0336	-0.0273
